scan,side,min_cur,min_tree,nl_cur,nl_tree,l20_cur,l20_tree
847,right,0.8859291612155863,0.8886191113746017,4,3,0.9322115795640966,0.9350514591015651
869,left,0.9430443743658584,0.9430443743658583,3,3,,
869,right,0.9463648285743632,0.9463648285743632,2,2,,
874,left,0.9525812264997708,0.9546460659230347,4,2,0.9580520788858892,0.9601295115180788
874,right,0.9482648983649354,0.9482648983649354,0,0,,
878,left,0.9074646079351204,0.9074646079351204,4,4,0.9025683547627038,0.9025683547627038
878,right,0.9503451234263638,0.9503451234263638,0,0,,
890,left,0.9867547661593024,0.9869364826582437,2,1,0.9926044862221984,0.9927873442498888
890,right,0.9487051418900048,0.9487051418900048,0,0,,
901,left,0.9564459518136226,0.9564459518136226,1,1,,
901,right,0.940969269260731,0.940969269260731,0,0,,
907,left,0.9553215354015906,0.9572797669351166,7,3,0.9548985516624284,0.9568558626231468
907,right,0.9666466222730424,0.9666466222730424,0,0,,
908,left,0.9697975508233244,0.9697975508233244,2,2,0.9890254415638068,0.9890254415638067
908,right,,,0,0,,
909,left,0.9365070120631012,0.9426622333506915,5,4,0.9259227946540032,0.931994018739469
909,right,0.903752622912694,0.9037526229126939,3,3,0.8898402253765249,0.8898402253765249
911,left,0.9599832442885068,0.9599832442885067,1,1,0.9615239656756848,0.9615239656756847
911,right,0.9383086403122648,0.9383086403122649,1,1,,
928,left,0.9562976890187428,0.9562972639637897,3,2,,
928,right,0.9469639854739758,0.9469639854739758,1,1,,
932,left,0.9668244106659863,0.9668244106659863,1,1,0.9586082935238108,0.9586082935238107
932,right,0.9427556133907488,0.9427556133907489,0,0,,
935,left,0.9433824694621432,0.9433824694621431,1,1,0.9568204378919094,0.9568204378919094
935,right,0.9279093147151388,0.9279093147151389,0,0,,
937,left,0.9661807490518102,0.9661807490518102,2,2,0.977535747762611,0.977535747762611
937,right,0.9848808777961722,0.9848808777961722,0,0,,
941,left,0.9570775133119102,0.9570775133119102,0,0,,
941,right,0.9505907254429274,0.9505907254429274,0,0,,
947,left,0.9255204308787712,0.9255204308787711,5,5,0.9411136108141912,0.9411136108141911
947,right,0.9184461622927894,0.9184461622927894,1,1,,
952,left,0.9737483555803438,0.9737483555803438,0,0,,
952,right,0.937086785988281,0.937086785988281,1,1,0.981675961249636,0.9816759612496361
954,left,0.9635362677567968,0.9635362677567969,2,2,,
954,right,0.95414978871043,0.9541371493415474,4,3,,
958,left,0.9765847271354924,0.9765839564268293,3,2,,
958,right,0.9578160630143426,0.9578160630143426,0,0,,
972,left,0.9660055800172516,0.9666109200538101,4,2,0.9704827624836754,0.9710910793094318
972,right,0.961751440754424,0.961751440754424,1,1,,
973,left,0.9784012394644978,0.9784012394644978,1,1,,
973,right,0.9685907769275868,0.9685907769275869,4,4,,
980,left,0.9851723812235234,0.9851723812235234,2,2,,
980,right,0.9739337072704168,0.9739278841537481,5,4,,
984,left,0.937680538648729,0.9376761757791817,9,6,0.937680538648729,0.9376761757791817
984,right,0.926788397011318,0.9267375438174733,7,5,0.939422446238162,0.9393794072516921
985,left,0.9537959512516366,0.9537949823294217,4,3,0.9752631624660948,0.9752631124702952
985,right,0.9301754050976148,0.9301754050976148,0,0,,
993,left,0.9236873919921916,0.9236855109701859,5,4,0.9304146501492914,0.9304127545510201
993,right,0.8654527351704902,0.8654527351704902,5,5,0.8877415365548544,0.8877415365548544
995,left,0.972727545505878,0.9727275455058781,1,1,0.9583925152544656,0.9583925152544656
995,right,0.9196962939367692,0.9196962939367692,3,3,0.9567108408653427,0.9567108408653429
997,left,0.9267961996817596,0.9267961996817595,3,3,0.9542279480543564,0.9542279480543563
997,right,0.9513371691523947,0.9513371691523947,2,2,0.9587999581510712,0.9587999581510711
