scan,side,min_disk,min_cur,nl_disk,nl_cur,l20_disk,l20_cur,Qin_disk,Qin_cur
789,left,0.8733083583642206,0.8733083583642206,5,5,0.901847066797185,0.901847066797185,1.990610587995653,1.990610587995653
789,right,0.9290628286857768,0.9290628286857767,0,0,,,0.8585751930134075,0.8585751930134075
790,left,0.9705063936379484,0.9705063936379484,2,2,0.9705063936379484,0.9705063936379484,0.6483687870562419,0.6483687870562419
790,right,0.9405959124628194,0.9405959124628194,0,0,,,0.5438808619595177,0.5438808619595177
799,left,0.9752078402230724,0.9752078402230723,1,1,0.983007759729048,0.9830077597290481,1.0629723471314343,1.0629723471314345
799,right,0.9441442472958508,0.9441442472958508,2,2,,,1.4322714082095345,1.4322714082095345
806,left,0.9481416457804008,0.9481416457804009,4,4,0.9685179126760772,0.9685179126760773,4.136521038973572,4.136521038973572
806,right,0.954218355136589,0.954218355136589,0,0,,,0.7421569212603258,0.7421569212603258
808,left,0.9438061727226036,0.9438061727226037,2,2,0.9728930899943118,0.9728930899943118,2.971784121602538,2.971784121602538
808,right,0.9553374707368444,0.9553374707368443,2,2,,,2.550432203488777,2.550432203488777
812,left,0.9715809799459204,0.9715809445012329,6,5,0.9834494365320056,0.9834493974796887,3.0251639870065548,3.025182338951274
812,right,0.9174885345527644,0.9174885345527645,9,9,0.9189756897047744,0.9189756897047744,2.8615099649522433,2.8615099649522433
813,left,0.9656855216272782,0.9656854256741648,4,3,0.9787485873411036,0.9787484900106376,3.641288342957877,3.6416917673750806
813,right,0.9532245420776668,0.9532245420776668,0,0,,,0.8091281397203224,0.8091281397203224
817,left,0.9505500641637848,0.9505500641637848,2,2,0.9590027866635328,0.9590027866635327,1.8730554414487557,1.8730554414487557
817,right,0.9291063981219702,0.9291063981219702,0,0,,,0.5677621646830034,0.5677621646830034
825,left,0.9658371315469024,0.9658371315469024,6,6,0.9658371315469024,0.9658371315469024,1.7639944877632128,1.7639944877632128
