run_id,terr_id,root_node,root_xyz_mm,Q_target_mls,Q_achieved_mls,residual,sum_w,n_nodes,n_outlets,contains_lesion,contains_error
335_left_LAD_prox_10mm_70ds_leaky_clean_none,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.9987223110131884,0.0,8.512513868682635e-09,477,2,True,False
335_left_LAD_prox_10mm_70ds_leaky_clean_none,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.2805152427657562,0.0,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_A_fixed,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.675839209982445,-0.10767355811670651,7.879822262175245e-09,281,2,True,True
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_A_fixed,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.280658879505259,6.298433652583361e-05,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_B_rederived,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,3.0004430766235206,0.0005738329301157942,7.879822262175245e-09,281,2,True,True
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_B_rederived,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.366467157983335,0.037689691174060284,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_C_flowmatched,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.9434721604595624,-0.01842456380529553,7.879822262175245e-09,281,2,True,True
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_C_flowmatched,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.3185380657285304,0.016672908932921993,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T3_stenosis_length_A_fixed,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.9852957486151923,-0.004477427719360744,8.512513868682635e-09,477,2,True,False
335_left_LAD_prox_10mm_70ds_leaky_T3_stenosis_length_A_fixed,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.2805212156636414,2.6191001809810393e-06,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T3_stenosis_length_B_rederived,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.9852957486151923,-0.004477427719360744,8.512513868682635e-09,477,2,True,False
335_left_LAD_prox_10mm_70ds_leaky_T3_stenosis_length_B_rederived,1,67,32.9534;-148.8756;-187.5962,2.2805152427657562,2.2805212156636414,2.6191001809810393e-06,5.878650591553704e-09,286,2,False,False
335_left_LAD_prox_10mm_70ds_leaky_T3_stenosis_length_C_flowmatched,0,12,33.0306;-149.5373;-187.1643,2.9987223110131884,2.9913004103934475,-0.0024750209755943827,8.512513868682635e-09,477,2,True,False
